date,new_cases,total_vaccinations,stringency_index,stay_home_requirements,close_public_transport,cancel_public_events,facial_coverings,school_closures,TEMP,HUMIDITY,WIND
2020-06-05,518,0,44.44,1,0,2,4,3,20,78.1,10
2020-06-06,270,0,44.44,1,0,2,4,3,21,66.9,16
2020-06-07,197,0,44.44,1,0,2,4,3,21,64.3,19
2020-06-08,280,0,44.44,1,0,2,4,3,20,67.9,13
2020-06-09,283,0,44.44,1,0,2,4,3,18,64.6,15
2020-06-10,202,0,44.44,1,0,2,4,3,17,67.7,88
2020-06-11,379,0,50,1,0,2,4,3,19,82.1,83
2020-06-12,163,0,50,1,0,2,4,3,20,61.5,96
2020-06-13,346,0,50,1,0,2,4,3,21,67.3,16
2020-06-14,338,0,50,1,0,2,4,3,22,70.9,10
2020-06-15,301,0,55.56,1,0,2,4,3,21,60.3,11
2020-06-16,210,0,55.56,1,0,2,4,3,20,68.8,13
2020-06-17,328,0,55.56,1,0,2,4,3,20,73.8,14
2020-06-18,331,0,55.56,1,0,2,4,3,20,70.5,72
2020-06-19,-148,0,55.56,1,0,2,4,3,21,62.8,12
2020-06-20,264,0,55.56,1,0,2,4,3,21,62.3,10
2020-06-21,224,0,55.56,1,0,2,4,3,24,61.1,11
2020-06-22,221,0,55.56,1,0,2,4,3,26,53.4,13
2020-06-23,113,0,55.56,1,0,2,4,3,25,39.4,10
2020-06-24,577,0,55.56,1,0,2,4,3,24,44,83
2020-06-25,296,0,55.56,1,0,2,4,3,25,50.7,77
2020-06-26,255,0,55.56,1,0,2,4,3,25,48.3,85
2020-06-27,175,0,55.56,1,0,2,4,3,26,43.8,86
2020-06-28,174,0,55.56,1,0,2,4,3,25,45.1,99
2020-06-29,126,0,55.56,1,0,2,4,3,25,59.3,12
2020-06-30,142,0,55.56,1,0,2,4,3,26,59.4,78
2020-07-01,182,0,55.56,1,0,2,4,3,27,61,78
2020-07-02,201,0,55.56,1,0,2,4,3,26,61,90
2020-07-03,223,0,55.56,1,0,2,4,3,23,71.2,10
2020-07-04,235,0,55.56,1,0,2,4,3,25,76.4,10
2020-07-05,192,0,55.56,1,0,2,4,3,26,53.3,94
2020-07-06,208,0,55.56,1,0,2,4,3,26,48.2,88
2020-07-07,137,0,55.56,1,0,2,4,3,25,54,98
2020-07-08,193,0,55.56,1,0,2,4,3,26,59.7,80
2020-07-09,214,0,58.33,1,0,2,4,3,27,53.5,88
2020-07-10,276,0,58.33,1,0,2,4,3,26,48.8,80
2020-07-11,188,0,58.33,1,0,2,4,3,26,57.2,77
2020-07-12,234,0,58.33,1,0,2,4,3,25,66.5,11
2020-07-13,169,0,58.33,1,0,2,4,3,23,55,10
2020-07-14,114,0,58.33,1,0,2,4,3,24,43.5,11
2020-07-15,162,0,58.33,1,0,2,4,3,23,59.5,82
2020-07-16,230,0,58.33,1,0,2,4,3,24,61,96
2020-07-17,231,0,58.33,1,0,2,4,3,24,61.5,12
2020-07-18,249,0,58.33,1,0,2,4,3,23,53.4,11
2020-07-19,218,0,58.33,1,0,2,4,3,25,42.2,96
2020-07-20,190,0,58.33,1,0,2,4,3,26,50.9,10
2020-07-21,128,0,58.33,1,0,2,4,3,27,53.6,10
2020-07-22,280,0,58.33,1,0,2,4,3,26,47.3,85
2020-07-23,306,0,58.33,1,0,2,4,3,26,50.2,11
2020-07-24,252,0,58.33,1,0,2,4,3,26,61.4,11
2020-07-25,274,0,58.33,1,0,2,4,3,26,49.8,88
2020-07-26,254,0,58.33,1,0,2,4,3,27,47.6,96
2020-07-27,168,0,48.15,0,0,2,4,3,27,43.9,82
2020-07-28,202,0,48.15,0,0,2,4,3,28,52,70
2020-07-29,288,0,48.15,0,0,2,4,3,29,55,86
2020-07-30,382,0,48.15,0,0,2,4,3,28,47.9,85
2020-07-31,379,0,48.15,0,0,2,4,3,31,56.2,11
2020-08-01,295,0,48.15,0,0,2,4,3,28,43.9,12
2020-08-02,238,0,48.15,0,0,2,4,3,27,58.2,15
2020-08-03,159,0,48.15,0,0,2,4,3,24,61.6,15
2020-08-04,190,0,48.15,0,0,2,4,3,23,55.6,10
2020-08-05,384,0,48.15,0,0,2,4,3,24,53.4,10
2020-08-06,401,0,48.15,0,0,2,4,3,25,54.8,99
2020-08-07,552,0,48.15,0,0,2,4,3,27,53.9,12
2020-08-08,347,0,50.93,0,0,2,4,3,28,45.5,10
2020-08-09,463,0,50.93,0,0,2,4,3,28,41,94
2020-08-10,259,0,50.93,0,0,2,4,3,28,48.1,80
2020-08-11,412,0,50.93,0,0,2,4,3,27,55,78
2020-08-12,476,0,50.93,0,0,2,4,3,28,52.5,82
2020-08-13,522,0,50.93,0,0,2,4,3,27,46.4,10
2020-08-14,574,0,50.93,0,0,2,4,3,27,52.5,83
2020-08-15,629,0,50.93,0,0,2,4,3,27,66.4,86
2020-08-16,477,0,50.93,0,0,2,4,3,26,56.3,78
2020-08-17,320,0,54.63,0,0,2,4,3,25,55.5,85
2020-08-18,401,0,54.63,0,0,2,4,3,26,68.3,10
2020-08-19,642,0,54.63,0,0,2,4,3,27,53.8,82
2020-08-20,840,0,54.63,0,0,2,4,3,28,53.3,77
2020-08-21,947,0,54.63,0,0,2,4,3,27,45.1,72
2020-08-22,1071,0,54.63,0,0,2,4,3,26,47.9,86
2020-08-23,1209,0,54.63,0,0,2,4,3,25,65.3,13
2020-08-24,953,0,54.63,0,0,2,4,3,26,67.6,11
2020-08-25,876,0,54.63,0,0,2,4,3,26,62.2,86
2020-08-26,1366,0,54.63,0,0,2,4,3,26,64,10
2020-08-27,1409,0,54.63,0,0,2,4,3,27,68.6,11
2020-08-28,1460,0,54.63,0,0,2,4,3,28,55,20
2020-08-29,1444,0,54.63,0,0,2,4,3,27,47.3,21
2020-08-30,1365,0,54.63,0,0,2,4,3,19,58.4,10
2020-08-31,996,0,54.63,0,0,2,4,3,18,80,40
2020-09-01,975,0,54.63,0,0,2,4,3,18,79.75,40
2020-09-02,1326,0,54.63,0,0,2,4,3,18,79.75,40
2020-09-03,1397,0,54.63,0,0,2,4,3,18,79.75,40
2020-09-04,1732,0,54.63,0,0,2,4,3,18,79.75,40
2020-09-05,1694,0,54.63,0,0,2,4,3,18,79.75,40
2020-09-06,1296,0,54.63,0,0,2,4,3,18,79.75,40
2020-09-07,1150,0,54.63,0,0,2,4,3,18,79.75,40
2020-09-08,1369,0,54.63,0,0,2,4,3,18,79.75,40
2020-09-09,1430,0,54.63,0,0,2,4,3,18,79.75,40
2020-09-10,1597,0,54.63,0,0,2,4,3,18,79.75,40
2020-09-11,1616,0,54.63,0,0,2,4,3,18,79.75,40
2020-09-12,1501,0,54.63,0,0,2,4,3,18,79.75,40
2020-09-13,1456,0,54.63,0,0,2,4,3,18,79.75,40
2020-09-14,1008,0,47.22,0,0,2,4,1,18,79.75,40
2020-09-15,1229,0,47.22,0,0,2,4,1,18,79.75,40
2020-09-16,1452,0,47.22,0,0,2,4,1,18,79.75,40
2020-09-17,1583,0,47.22,0,0,2,4,1,18,79.75,40
2020-09-18,1907,0,47.22,0,0,2,4,1,18,79.75,40
2020-09-19,1637,0,47.22,0,0,2,4,1,18,79.75,40
2020-09-20,1587,0,47.22,0,0,2,4,1,18,79.75,40
2020-09-21,1350,0,47.22,0,0,2,4,1,18,79.75,40
2020-09-22,1391,0,47.22,0,0,2,4,1,18,79.75,40
2020-09-23,1640,0,47.22,0,0,2,4,1,18,79.75,40
2020-09-24,1786,0,47.22,0,0,2,4,1,18,79.75,40
2020-09-25,1912,0,47.22,0,0,2,4,1,18,79.75,40
